"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08","WT10"
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-11-01","6.93"," 2222"," 2117","0.00",,"50","56","44",,"   20","   10","13.0","16.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-11-02","9.17"," 1820"," 1819","0.00",,"44","53","34",,"   20","   20","17.0","21.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-11-03","8.95"," 1432"," 1347","0.00",,"38","45","30",,"   30","   20","17.0","21.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-11-04","8.28"," 1328"," 1022","0.00",,"32","41","22",,"   10","  360","15.0","17.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-11-05","7.83"," 1211"," 1146","0.00",,"30","38","22",,"  360","  360","14.1","17.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-11-06","9.17"," 2142"," 2142","0.00",,"38","43","32",,"  270","  280","16.1","19.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-11-07","6.49"," 1010"," 0527","0.00",,"42","49","34",,"  280","  270","14.1","16.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-11-08","2.68"," 1132"," 1325","0.00",,"38","43","32",,"  230","  230","13.0","14.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-11-09","4.47"," 2335"," 2340","0.00",,"36","48","23",,"  100","  110","15.0","17.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-11-10","19.01"," 2146"," 1740","0.00",,"53","62","43",,"  230","  240","40.9","51.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-11-11","20.80"," 0008"," 0007","0.00",,"41","47","34",,"  240","  240","44.1","55.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-11-12","10.51"," 1357"," 1357","0.00",,"41","52","29",,"  250","  250","23.0","29.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-11-13","3.13"," 1445"," 0113","0.00",,"37","45","28",,"  180","  350","10.1","14.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-11-14","10.74"," 2156"," 2155","0.00",,"39","53","24",,"  290","  290","28.0","33.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-11-15","9.40"," 0004"," 0020","0.00",,"39","49","28",,"  290","  300","23.0","30.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-11-16","5.82"," 1124"," 1417","0.00",,"42","50","33",,"  170","  190","15.0","17.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-11-17","6.93"," 0454"," 0625","0.00",,"36","46","26",,"  310","  310","15.0","17.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-11-18","6.49"," 1347"," 1604","0.00","0","38","52","23",,"  180","  120","16.1","17.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-11-19","12.30"," 1233"," 1210","0.00",,"46","58","34",,"  240","  230","29.1","36.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-11-20","11.18"," 1822"," 1821","0.00",,"35","38","32",,"  250","  250","19.9","23.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-11-21","9.17"," 1256"," 1335","0.00",,"35","44","25",,"  260","  260","16.1","17.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-11-22","11.41"," 1419"," 1419","0.00",,"40","54","25",,"  210","  210","21.9","28.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-11-23","14.32"," 1334"," 1331","0.00",,"48","60","35",,"  250","  250","33.1","42.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-11-24","7.83"," 1259"," 1258","0.00",,"41","54","28",,"  290","  280","21.0","23.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-11-25","5.82"," 1110"," 2247","0.00",,"37","46","27",,"  120","  310","14.1","16.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-11-26","12.75"," 1514"," 1514","0.00",,"40","54","26",,"  280","  280","25.1","31.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-11-27","4.92"," 1434"," 1527","0.00",,"37","51","22",,"  200","  190","11.0","13.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-11-28","5.37"," 1642"," 1440","0.00",,"46","65","27",,"  200","  180","10.1","13.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-11-29","9.40"," 2228"," 2147","0.00",,"57","62","51",,"  190","  200","16.1","21.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-11-30","15.66"," 2032"," 1747","0.00",,"54","62","45",,"  270","  220","29.1","38.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-12-01","12.53"," 0119"," 0200","0.00",,"46","55","36",,"  280","  290","25.1","31.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1998-12-02","12.53"," 1354"," 1341","0.00",,"52","62","42",,"  240","  240","21.0","23.9",,,,,
